id,issue_type,complaint_text,area,votes,attachments,priority_label
1712,Illegal Parking,no parking followed,Bokaro,93,1,Medium
1713,Water Leakage,Pipeline burst,Chaibasa,3,5,High
1714,Illegal Parking,no parking followed,Chaibasa,52,3,Medium
1715,Water Leakage,pipe se pani nikal raha hai,Hazaribagh,90,3,High
1716,Drainage Blockage,Drainage issue,Jamshedpur,82,5,High
1717,Noise Pollution,Noise disturbing area,Ranchi,7,4,High
1718,Pothole,pothol road broken hai,Giridih,0,2,Low
1719,Garbage Dump,kachra bahut hai,Chaibasa,22,1,Low
1720,Water Leakage,pipe se pani nikal raha hai,Dhanbad,76,2,High
1721,Water Leakage,Pipeline burst,Ranchi,56,0,High
1722,Drainage Blockage,Drain blocked,Dhanbad,87,1,High
1723,Drainage Blockage,dirty water overflow,Giridih,58,5,High
1724,Streetlight Not Working,Streetlight issue,Bokaro,46,1,Low
1725,Public Toilet Issue,Toilet unclean,Jamshedpur,84,5,High
1726,Noise Pollution,DJ loud hai,Giridih,89,4,High
1727,Electricity Outage,power outage,Giridih,80,3,High
1728,Drainage Blockage,Drainage issue,Giridih,71,3,High
1729,Pothole,Big pothole on road,Bokaro,67,0,High
1730,Road Damage,Road damaged,Deoghar,22,5,High
1731,Streetlight Not Working,Streetlight issue,Ranchi,45,4,High
1732,Drainage Blockage,Nali jam hai,Ranchi,87,5,High
1733,Drainage Blockage,dirty water overflow,Bokaro,9,5,Medium
1734,Streetlight Not Working,Light not working,Hazaribagh,88,0,High
1735,Drainage Blockage,Drainage issue,Bokaro,22,3,High
1736,Noise Pollution,high sound pollution,Hazaribagh,31,4,Medium
1737,Electricity Outage,power outage,Hazaribagh,26,5,High
1738,Electricity Outage,Power cut in area,Hazaribagh,24,3,High
1739,Public Toilet Issue,Toilet unclean,Bokaro,16,5,High
1740,Public Toilet Issue,Public toilet problem,Deoghar,8,1,Medium
1741,Illegal Parking,illegal gaadi parking,Hazaribagh,36,4,Medium
1742,Illegal Parking,no parking followed,Chaibasa,25,0,Medium
1743,Garbage Dump,ganda kachra near market,Ranchi,14,1,Low
1744,Streetlight Not Working,Streetlight issue,Deoghar,55,4,High
1745,Road Damage,road crack,Bokaro,98,1,High
1746,Electricity Outage,Bijli chali gayi,Chaibasa,22,2,High
1747,Electricity Outage,Bijli chali gayi,Bokaro,64,0,High
1748,Pothole,pothol road broken hai,Bokaro,56,0,High
1749,Pothole,khadda on street,Jamshedpur,14,5,High
1750,Drainage Blockage,Drain blocked,Dhanbad,47,0,Low
1751,Illegal Parking,no parking followed,Jamshedpur,98,4,High
1752,Pothole,pothol road broken hai,Giridih,83,3,High
1753,Streetlight Not Working,bulb kharab,Hazaribagh,87,3,High
1754,Water Leakage,Water leakage near colony,Deoghar,58,4,High
1755,Illegal Parking,Cars parked illegally,Deoghar,32,1,Medium
1756,Road Damage,road crack,Dhanbad,29,3,High
1757,Public Toilet Issue,toilet band hai,Chaibasa,93,3,Medium
1758,Water Leakage,Water leakage near colony,Bokaro,92,4,High
1759,Noise Pollution,Noise disturbing area,Giridih,46,3,Medium
1760,Garbage Dump,Garbage not collected,Chaibasa,69,5,High
1761,Illegal Parking,illegal gaadi parking,Bokaro,6,1,Medium
1762,Road Damage,Road damaged,Chaibasa,55,1,Medium
1763,Electricity Outage,power outage,Dhanbad,95,5,High
1764,Drainage Blockage,dirty water overflow,Dhanbad,59,1,High
1765,Pothole,Big pothole on road,Jamshedpur,86,0,Medium
1766,Drainage Blockage,Nali jam hai,Deoghar,11,2,Medium
1767,Garbage Dump,ganda kachra near market,Deoghar,46,4,Medium
1768,Garbage Dump,kachra bahut hai,Dhanbad,71,1,Medium
1769,Water Leakage,leakage of pani,Chaibasa,71,4,High
1770,Water Leakage,Water leakage near colony,Ranchi,56,0,High
1771,Pothole,khadda on street,Deoghar,75,5,High
1772,Public Toilet Issue,smelly toilet,Deoghar,85,4,High
1773,Water Leakage,Water leakage near colony,Giridih,79,2,High
1774,Streetlight Not Working,Light not working,Hazaribagh,81,2,Medium
1775,Noise Pollution,Noise disturbing area,Dhanbad,75,3,Medium
1776,Road Damage,Sadak kharab hai,Deoghar,3,3,High
1777,Public Toilet Issue,smelly toilet,Ranchi,55,2,High
1778,Garbage Dump,kachra bahut hai,Ranchi,42,4,High
1779,Pothole,khadda on street,Bokaro,38,3,High
1780,Illegal Parking,Blocking road,Giridih,42,2,Low
1781,Electricity Outage,No electricity since morning,Chaibasa,70,1,High
1782,Garbage Dump,Overflowing garbage,Jamshedpur,85,2,High
1783,Garbage Dump,kachra bahut hai,Jamshedpur,22,2,Low
1784,Garbage Dump,Garbage not collected,Ranchi,1,5,High
1785,Public Toilet Issue,Toilet unclean,Jamshedpur,80,2,Medium
1786,Garbage Dump,Overflowing garbage,Jamshedpur,23,0,Low
1787,Garbage Dump,ganda kachra near market,Bokaro,49,2,High
1788,Water Leakage,pipe se pani nikal raha hai,Ranchi,60,2,High
1789,Streetlight Not Working,Light not working,Bokaro,33,1,High
1790,Drainage Blockage,dirty water overflow,Dhanbad,96,1,High
1791,Road Damage,bad road condition,Bokaro,81,2,High
1792,Pothole,pothol road broken hai,Hazaribagh,83,5,High
1793,Drainage Blockage,Drain blocked,Giridih,93,0,High
1794,Garbage Dump,Overflowing garbage,Deoghar,40,4,Medium
1795,Drainage Blockage,dirty water overflow,Deoghar,95,3,High
1796,Streetlight Not Working,Light not working,Dhanbad,29,4,High
1797,Drainage Blockage,dirty water overflow,Chaibasa,51,3,High
1798,Pothole,Road broken badly,Giridih,17,2,High
1799,Water Leakage,Water leakage near colony,Dhanbad,19,4,High
1800,Drainage Blockage,dirty water overflow,Chaibasa,25,0,High
1801,Electricity Outage,power outage,Chaibasa,29,1,High
1802,Pothole,pothol road broken hai,Jamshedpur,45,0,High
1803,Road Damage,bad road condition,Giridih,63,1,High
1804,Electricity Outage,Power cut in area,Giridih,87,4,High
1805,Drainage Blockage,dirty water overflow,Deoghar,88,1,High
1806,Streetlight Not Working,bulb kharab,Bokaro,41,5,High
1807,Electricity Outage,Bijli chali gayi,Deoghar,71,2,High
1808,Noise Pollution,DJ loud hai,Bokaro,29,5,High
1809,Garbage Dump,Overflowing garbage,Deoghar,49,1,Low
1810,Electricity Outage,Bijli chali gayi,Giridih,8,3,High
1811,Pothole,Big pothole on road,Bokaro,60,1,High
1812,Water Leakage,pipe se pani nikal raha hai,Deoghar,100,2,High
1813,Streetlight Not Working,bulb kharab,Jamshedpur,76,4,High
1814,Road Damage,bad road condition,Giridih,36,1,Low
1815,Streetlight Not Working,Light not working,Ranchi,18,2,Medium
1816,Public Toilet Issue,toilet band hai,Chaibasa,99,1,High
1817,Garbage Dump,kachra bahut hai,Hazaribagh,35,3,High
1818,Water Leakage,Pipeline burst,Jamshedpur,41,0,Medium
1819,Drainage Blockage,dirty water overflow,Ranchi,92,3,High
1820,Pothole,Big pothole on road,Deoghar,82,2,High
1821,Water Leakage,Water leakage near colony,Jamshedpur,63,0,High
1822,Streetlight Not Working,bulb kharab,Deoghar,11,2,Low
1823,Illegal Parking,Blocking road,Giridih,69,0,Medium
1824,Streetlight Not Working,bulb kharab,Jamshedpur,57,1,High
1825,Pothole,khadda on street,Bokaro,6,5,Medium
1826,Water Leakage,leakage of pani,Deoghar,17,4,High
1827,Road Damage,Road damaged,Chaibasa,97,2,Medium
1828,Pothole,Road broken badly,Ranchi,25,4,Medium
1829,Garbage Dump,ganda kachra near market,Dhanbad,74,2,Medium
1830,Noise Pollution,high sound pollution,Deoghar,36,2,Medium
1831,Drainage Blockage,dirty water overflow,Hazaribagh,25,2,High
1832,Road Damage,Sadak kharab hai,Bokaro,98,3,High
1833,Streetlight Not Working,Street dark at night,Hazaribagh,25,4,High
1834,Pothole,pothol road broken hai,Bokaro,82,5,Low
1835,Drainage Blockage,Drainage issue,Giridih,26,3,High
1836,Public Toilet Issue,Public toilet problem,Hazaribagh,61,4,Low
1837,Noise Pollution,Loud noise,Hazaribagh,6,0,Medium
1838,Water Leakage,Water leakage near colony,Deoghar,12,0,High
1839,Drainage Blockage,Drain blocked,Giridih,9,2,High
1840,Water Leakage,Pipeline burst,Bokaro,33,3,High
1841,Pothole,Big pothole on road,Ranchi,60,1,Medium
1842,Noise Pollution,Noise disturbing area,Hazaribagh,88,4,High
1843,Water Leakage,pipe se pani nikal raha hai,Giridih,27,0,High
1844,Illegal Parking,Cars parked illegally,Ranchi,22,0,Low
1845,Public Toilet Issue,smelly toilet,Ranchi,25,2,Medium
1846,Pothole,khadda on street,Giridih,83,0,High
1847,Electricity Outage,power outage,Deoghar,46,0,Medium
1848,Drainage Blockage,Drainage issue,Dhanbad,92,4,High
1849,Illegal Parking,illegal gaadi parking,Deoghar,47,3,High
1850,Road Damage,Road damaged,Giridih,52,2,Medium
1851,Drainage Blockage,Nali jam hai,Chaibasa,82,3,High
1852,Water Leakage,Water leakage near colony,Dhanbad,76,2,High
1853,Illegal Parking,Cars parked illegally,Jamshedpur,10,3,High
1854,Road Damage,road crack,Bokaro,85,1,High
1855,Drainage Blockage,Nali jam hai,Giridih,70,3,High
1856,Garbage Dump,kachra bahut hai,Chaibasa,28,5,High
1857,Pothole,Road broken badly,Chaibasa,64,0,High
1858,Illegal Parking,no parking followed,Jamshedpur,38,1,High
1859,Water Leakage,Pipeline burst,Jamshedpur,99,5,High
1860,Drainage Blockage,Drainage issue,Ranchi,84,3,High
1861,Noise Pollution,high sound pollution,Ranchi,75,3,Medium
1862,Electricity Outage,Power cut in area,Giridih,89,3,High
1863,Public Toilet Issue,toilet band hai,Ranchi,3,3,High
1864,Garbage Dump,ganda kachra near market,Jamshedpur,10,1,Low
1865,Public Toilet Issue,toilet band hai,Hazaribagh,4,2,Low
1866,Noise Pollution,Loud noise,Chaibasa,86,0,High
1867,Illegal Parking,illegal gaadi parking,Ranchi,68,5,High
1868,Public Toilet Issue,smelly toilet,Ranchi,37,1,Medium
1869,Garbage Dump,kachra bahut hai,Chaibasa,25,3,Medium
1870,Water Leakage,leakage of pani,Ranchi,98,3,High
1871,Public Toilet Issue,Toilet unclean,Chaibasa,29,5,Medium
1872,Noise Pollution,high sound pollution,Chaibasa,72,0,High
1873,Drainage Blockage,dirty water overflow,Jamshedpur,81,4,High
1874,Illegal Parking,illegal gaadi parking,Jamshedpur,8,0,Low
1875,Road Damage,Road damaged,Jamshedpur,31,1,Medium
1876,Public Toilet Issue,smelly toilet,Deoghar,84,4,Medium
1877,Noise Pollution,DJ loud hai,Ranchi,52,0,High
1878,Illegal Parking,Cars parked illegally,Ranchi,1,2,Medium
1879,Pothole,Road broken badly,Deoghar,38,1,High
1880,Public Toilet Issue,Toilet unclean,Bokaro,61,3,Medium
1881,Garbage Dump,kachra bahut hai,Dhanbad,18,5,High
1882,Garbage Dump,ganda kachra near market,Bokaro,72,1,High
1883,Electricity Outage,Power cut in area,Giridih,52,0,High
1884,Drainage Blockage,Nali jam hai,Bokaro,50,3,High
1885,Illegal Parking,no parking followed,Dhanbad,82,5,High
1886,Illegal Parking,Cars parked illegally,Giridih,76,0,High
1887,Pothole,pothol road broken hai,Giridih,47,2,Medium
1888,Electricity Outage,No electricity since morning,Deoghar,68,4,High
1889,Noise Pollution,high sound pollution,Dhanbad,88,4,High
1890,Road Damage,road crack,Jamshedpur,66,4,Medium
1891,Noise Pollution,Noise disturbing area,Deoghar,65,1,Medium
1892,Electricity Outage,No electricity since morning,Giridih,24,2,High
1893,Noise Pollution,DJ loud hai,Hazaribagh,100,1,Medium
1894,Drainage Blockage,Drain blocked,Dhanbad,26,3,High
1895,Streetlight Not Working,Street dark at night,Deoghar,76,5,High
1896,Illegal Parking,Blocking road,Hazaribagh,61,5,High
1897,Electricity Outage,Power cut in area,Giridih,15,3,High
1898,Public Toilet Issue,toilet band hai,Hazaribagh,58,4,High
1899,Public Toilet Issue,toilet band hai,Chaibasa,76,0,Medium
1900,Drainage Blockage,Drain blocked,Ranchi,97,0,High
1901,Garbage Dump,kachra bahut hai,Giridih,95,5,Medium
1902,Garbage Dump,Garbage not collected,Hazaribagh,43,4,Medium
1903,Noise Pollution,DJ loud hai,Deoghar,96,2,High
1904,Streetlight Not Working,Light not working,Bokaro,21,3,High
1905,Electricity Outage,Bijli chali gayi,Jamshedpur,62,0,High
1906,Water Leakage,Pipeline burst,Hazaribagh,22,1,High
1907,Noise Pollution,DJ loud hai,Bokaro,49,3,High
1908,Public Toilet Issue,toilet band hai,Giridih,19,5,Medium
1909,Public Toilet Issue,smelly toilet,Deoghar,55,4,Medium
1910,Public Toilet Issue,Public toilet problem,Deoghar,77,1,High
1911,Illegal Parking,no parking followed,Bokaro,21,3,High
1912,Electricity Outage,Power cut in area,Chaibasa,29,3,High
1913,Garbage Dump,ganda kachra near market,Ranchi,57,5,Medium
1914,Public Toilet Issue,smelly toilet,Giridih,54,0,Medium
1915,Electricity Outage,Bijli chali gayi,Dhanbad,61,1,High
1916,Streetlight Not Working,Light not working,Deoghar,4,3,High
1917,Garbage Dump,Garbage not collected,Ranchi,78,5,Medium
1918,Electricity Outage,Bijli chali gayi,Hazaribagh,18,3,High
1919,Streetlight Not Working,Street dark at night,Ranchi,11,4,Medium
1920,Water Leakage,Pipeline burst,Bokaro,30,0,High
1921,Water Leakage,leakage of pani,Chaibasa,68,0,High
1922,Streetlight Not Working,Street dark at night,Deoghar,100,0,High
1923,Pothole,Big pothole on road,Dhanbad,50,1,Medium
1924,Noise Pollution,high sound pollution,Hazaribagh,47,4,High
1925,Streetlight Not Working,Light not working,Ranchi,20,5,High
1926,Road Damage,bad road condition,Giridih,62,5,Medium
1927,Road Damage,road crack,Giridih,45,4,High
1928,Public Toilet Issue,Toilet unclean,Bokaro,16,0,Medium
1929,Noise Pollution,Noise disturbing area,Giridih,52,3,High
1930,Pothole,khadda on street,Dhanbad,27,3,High
1931,Electricity Outage,Power cut in area,Dhanbad,50,1,Medium
1932,Illegal Parking,illegal gaadi parking,Chaibasa,59,5,Medium
1933,Pothole,pothol road broken hai,Jamshedpur,31,1,Medium
1934,Illegal Parking,illegal gaadi parking,Hazaribagh,9,4,Medium
1935,Garbage Dump,Garbage not collected,Bokaro,45,2,Medium
1936,Water Leakage,Pipeline burst,Hazaribagh,95,5,High
1937,Pothole,khadda on street,Deoghar,57,3,High
1938,Road Damage,bad road condition,Chaibasa,74,0,High
1939,Road Damage,Sadak kharab hai,Jamshedpur,93,5,Medium
1940,Public Toilet Issue,Public toilet problem,Hazaribagh,93,5,Medium
1941,Illegal Parking,Cars parked illegally,Bokaro,35,3,High
1942,Illegal Parking,no parking followed,Giridih,72,1,High
1943,Streetlight Not Working,Light not working,Dhanbad,0,0,Low
1944,Public Toilet Issue,Toilet unclean,Chaibasa,21,5,Medium
1945,Noise Pollution,Noise disturbing area,Chaibasa,93,2,High
1946,Drainage Blockage,Nali jam hai,Deoghar,80,5,High
1947,Electricity Outage,Power cut in area,Bokaro,76,1,High
1948,Electricity Outage,Power cut in area,Giridih,63,5,High
1949,Garbage Dump,kachra bahut hai,Bokaro,18,4,High
1950,Garbage Dump,ganda kachra near market,Deoghar,89,4,High
1951,Garbage Dump,Overflowing garbage,Chaibasa,31,1,High
1952,Illegal Parking,Blocking road,Giridih,55,1,Medium
1953,Electricity Outage,power outage,Chaibasa,30,3,High
1954,Electricity Outage,No electricity since morning,Dhanbad,31,4,High
1955,Garbage Dump,Overflowing garbage,Jamshedpur,12,0,Low
1956,Water Leakage,Water leakage near colony,Chaibasa,6,0,High
1957,Drainage Blockage,Drain blocked,Jamshedpur,85,4,High
1958,Noise Pollution,DJ loud hai,Ranchi,10,0,Low
1959,Public Toilet Issue,Toilet unclean,Hazaribagh,13,2,Medium
1960,Noise Pollution,high sound pollution,Jamshedpur,33,1,Medium
1961,Water Leakage,leakage of pani,Chaibasa,88,3,High
1962,Illegal Parking,illegal gaadi parking,Hazaribagh,53,1,High
1963,Pothole,Road broken badly,Jamshedpur,10,0,Low
1964,Garbage Dump,kachra bahut hai,Deoghar,36,2,High
1965,Road Damage,Sadak kharab hai,Hazaribagh,93,4,Medium
1966,Illegal Parking,Cars parked illegally,Jamshedpur,24,2,Medium
1967,Water Leakage,leakage of pani,Giridih,63,3,High
1968,Illegal Parking,Cars parked illegally,Dhanbad,84,2,Medium
1969,Garbage Dump,Overflowing garbage,Dhanbad,62,2,High
1970,Electricity Outage,power outage,Dhanbad,25,5,High
1971,Drainage Blockage,Drain blocked,Deoghar,78,2,High
1972,Streetlight Not Working,bulb kharab,Deoghar,27,1,Medium
1973,Noise Pollution,Loud noise,Giridih,78,1,High
1974,Road Damage,road crack,Ranchi,96,3,High
1975,Garbage Dump,kachra bahut hai,Chaibasa,60,3,High
1976,Electricity Outage,Bijli chali gayi,Ranchi,38,5,High
1977,Pothole,Road broken badly,Ranchi,67,1,High
1978,Illegal Parking,Blocking road,Hazaribagh,6,0,Medium
1979,Electricity Outage,power outage,Ranchi,98,4,High
1980,Electricity Outage,power outage,Bokaro,99,0,High
1981,Streetlight Not Working,Light not working,Giridih,1,5,Medium
1982,Garbage Dump,kachra bahut hai,Hazaribagh,16,5,High
1983,Illegal Parking,illegal gaadi parking,Dhanbad,26,5,High
1984,Road Damage,Road damaged,Jamshedpur,88,4,Medium
1985,Pothole,Road broken badly,Hazaribagh,30,0,Low
1986,Road Damage,bad road condition,Jamshedpur,59,4,Medium
1987,Garbage Dump,kachra bahut hai,Giridih,45,1,High
1988,Garbage Dump,Garbage not collected,Dhanbad,8,1,Low
1989,Public Toilet Issue,Toilet unclean,Deoghar,96,5,Medium
1990,Garbage Dump,kachra bahut hai,Bokaro,65,3,Medium
1991,Garbage Dump,ganda kachra near market,Chaibasa,95,1,Medium
1992,Pothole,Big pothole on road,Bokaro,4,3,High
1993,Drainage Blockage,Drain blocked,Giridih,83,2,High
1994,Garbage Dump,kachra bahut hai,Jamshedpur,76,4,Medium
1995,Drainage Blockage,Drainage issue,Ranchi,15,4,High
1996,Pothole,Road broken badly,Hazaribagh,13,0,Medium
1997,Electricity Outage,No electricity since morning,Jamshedpur,43,3,High
1998,Pothole,Road broken badly,Deoghar,3,2,High
1999,Noise Pollution,Loud noise,Deoghar,76,0,High
2000,Garbage Dump,Overflowing garbage,Bokaro,23,4,Medium
2001,Road Damage,road crack,Jamshedpur,96,4,Medium
2002,Illegal Parking,Blocking road,Hazaribagh,96,0,High
2003,Water Leakage,Pipeline burst,Ranchi,8,0,High
2004,Illegal Parking,no parking followed,Hazaribagh,69,0,High
2005,Garbage Dump,Overflowing garbage,Dhanbad,42,1,High
2006,Water Leakage,pipe se pani nikal raha hai,Bokaro,21,5,High
2007,Streetlight Not Working,Light not working,Bokaro,63,4,Medium
2008,Road Damage,bad road condition,Dhanbad,37,2,Low
2009,Electricity Outage,power outage,Jamshedpur,31,4,Low
2010,Illegal Parking,no parking followed,Hazaribagh,75,1,High
2011,Streetlight Not Working,Street dark at night,Ranchi,16,5,High
2012,Illegal Parking,Cars parked illegally,Hazaribagh,17,1,Medium
2013,Pothole,Road broken badly,Deoghar,52,0,High
2014,Garbage Dump,ganda kachra near market,Giridih,47,2,High
2015,Streetlight Not Working,Streetlight issue,Bokaro,81,1,Medium
2016,Streetlight Not Working,Streetlight issue,Hazaribagh,62,3,High
2017,Pothole,pothol road broken hai,Chaibasa,100,0,Medium
2018,Electricity Outage,Power cut in area,Giridih,35,1,High
2019,Public Toilet Issue,toilet band hai,Bokaro,44,2,Low
2020,Illegal Parking,no parking followed,Chaibasa,34,1,Medium
2021,Public Toilet Issue,Toilet unclean,Dhanbad,49,1,Low
2022,Garbage Dump,ganda kachra near market,Hazaribagh,34,5,Medium
2023,Streetlight Not Working,Street dark at night,Bokaro,36,2,Low
2024,Drainage Blockage,Drainage issue,Giridih,98,5,High
2025,Electricity Outage,No electricity since morning,Hazaribagh,92,3,High
2026,Noise Pollution,Loud noise,Deoghar,72,4,High
2027,Drainage Blockage,dirty water overflow,Deoghar,5,2,Medium
2028,Illegal Parking,Cars parked illegally,Jamshedpur,71,0,High
2029,Pothole,Big pothole on road,Giridih,26,3,Medium
2030,Water Leakage,Water leakage near colony,Bokaro,28,5,High
2031,Illegal Parking,no parking followed,Chaibasa,15,2,Medium
2032,Garbage Dump,Overflowing garbage,Bokaro,32,4,Medium
2033,Pothole,pothol road broken hai,Giridih,62,1,Medium
2034,Noise Pollution,Noise disturbing area,Giridih,35,0,Low
2035,Water Leakage,Pipeline burst,Jamshedpur,3,5,High
2036,Streetlight Not Working,Street dark at night,Dhanbad,94,0,High
2037,Pothole,Road broken badly,Bokaro,84,3,Medium
2038,Drainage Blockage,Nali jam hai,Giridih,80,2,High
2039,Illegal Parking,Cars parked illegally,Deoghar,0,1,Medium
2040,Garbage Dump,Overflowing garbage,Bokaro,10,1,Low
2041,Water Leakage,pipe se pani nikal raha hai,Deoghar,34,5,High
2042,Noise Pollution,DJ loud hai,Giridih,27,3,Medium
2043,Electricity Outage,Bijli chali gayi,Ranchi,77,1,High
2044,Garbage Dump,Overflowing garbage,Dhanbad,74,0,Medium
2045,Garbage Dump,kachra bahut hai,Giridih,71,3,Medium
